route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,"GARE DE L'OUEST - STOCKEL",,1,,B5378C,FFFFFF
3,2,"SIMONIS - ELISABETH",,1,,ED6C23,FFFFFF
5,4,"GARE DU NORD - STALLE (P)",,0,,EA4F80,000000
2,5,"ERASME - HERRMANN-DEBROUX",,1,,F6A90B,FFFFFF
4,6,"ROI BAUDOUIN - ELISABETH",,1,,0066A3,FFFFFF
8,7,"VANDERKINDERE - HEYSEL",,0,,EFE048,000000
9,8,"LOUISE - ROODEBEEK",,0,,169FDB,FFFFFF
11,9,"GROOT-BIJGAARDEN - ROI BAUDOUIN",,0,,C44F97,FFFFFF
7,10,"HOPITAL MILITAIRE - CHURCHILL",,0,,8F4199,FFFFFF
16,12,"BRUSSELS AIRPORT - BRUSSELS CITY",,3,,4C8B33,FFFFFF
18,13,"ETANGS NOIRS - UZ-VUB",,3,,91BEE7,000000
19,14,"UZ-VUB - GARE DU NORD",,3,,F29DC3,000000
20,17,"BEAULIEU - HEILIGENBORRE",,3,,E43C2E,FFFFFF
21,18,"ALBERT - VAN HAELEN",,0,,91BEE7,000000
14,19,"SIMONIS - DE WAND",,0,,E43C2E,FFFFFF
22,20,"HUNDERENVELD - GARE DU NORD",,3,,F3C300,000000
17,21,"MAES - LUXEMBOURG",,3,,FFDC01,000000
24,25,"BOONDAEL GARE - ROGIER",,0,,A12944,FFFFFF
26,27,"LUXEMBOURG - PLEIADES",,3,,91BEE7,000000
27,28,"BRABANCONNE - KONKEL",,3,,E43C2E,FFFFFF
28,29,"DE BROUCKERE - HOF TEN BERG",,3,,ED7807,FFFFFF
31,33,"DANSAERT - LOUISE",,3,,F29DC3,000000
32,34,"PORTE DE NAMUR - SAINTE-ANNE",,3,,F3C300,000000
6,35,"BIENFAITEURS - ESPLANADE",,0,,336195,FFFFFF
33,36,"MAELBEEK - KONKEL",,3,,91BEE7,000000
34,37,"ALBERT - GARE DE LINKEBEEK",,3,,306196,FFFFFF
36,38,"GARE CENTRALE - HEROS",,3,,A67CB0,FFFFFF
38,39,"MONTGOMERY - BAN-EIK",,0,,E43C2E,FFFFFF
39,41,"HEROS - TRANSVAAL",,3,,91BEE7,000000
41,42,"ROODEBEEK - VIADUC E40",,3,,4C8B33,FFFFFF
35,43,"OBSERVATOIRE - VIVIER D'OIE",,3,,9B6018,FFFFFF
37,44,"MONTGOMERY - TERVUREN STATION",,0,,F3C300,000000
40,45,"ROODEBEEK - SAINT-VINCENT",,3,,A67CB0,FFFFFF
30,46,"MOORTEBEEK - PANNENHUIS",,3,,E43C2E,FFFFFF
42,47,"HEEMBEEK - VILVOORDE STATION",,3,,E43C2E,FFFFFF
43,48,"ANNEESSENS - DECROLY",,3,,ED7807,FFFFFF
44,49,"GARE DU MIDI - SIMONIS",,3,,306196,FFFFFF
45,50,"GARE DU MIDI - LOT STATION",,3,,B4BD10,000000
13,51,"STADE - GARE DU MIDI",,0,,F3C300,000000
29,52,"GARE CENTRALE - FOREST (BERVOETS)",,3,,FFDC01,000000
47,53,"WESTLAND SHOPPING - HOPITAL MILITAIRE",,3,,4C8B33,FFFFFF
48,54,"TRONE - FOREST (BERVOETS)",,3,,E43C2E,FFFFFF
25,55,"DA VINCI - ROGIER",,0,,F3C300,000000
49,56,"SCHUMAN - BUDA",,3,,ED7807,FFFFFF
50,58,"VILVOORDE STATION - ALBERT II",,3,,4C8B33,FFFFFF
51,59,"HOPITAL ETTERBEEK-IXELLES - BORDET STATION",,3,,9B6018,FFFFFF
52,60,"AMBIORIX - UCCLE CALEVOET",,3,,F29DC3,000000
53,61,"GARE DU NORD - MONTGOMERY",,3,,FFDC01,000000
15,62,"EUROCONTROL - HEYSEL",,0,,F29DC3,000000
54,63,"GARE CENTRALE - CIMETIERE DE BRUXELLES",,3,,91BEE7,000000
56,64,"PORTE DE NAMUR - BORDET STATION",,3,,E43C2E,FFFFFF
57,65,"GARE CENTRALE - MACHELEN",,3,,F3C300,000000
58,66,"GARE CENTRALE - PEAGE",,3,,306196,FFFFFF
59,69,"SCHAERBEEK GARE - JULES BORDET",,3,,ED7807,FFFFFF
60,71,"DE BROUCKERE - DELTA",,3,,4C8B33,FFFFFF
61,72,"ULB - ADEPS",,3,,F29DC3,000000
62,73,"CERIA - GARE DU MIDI",,3,,F29DC3,000000
46,74,"UCCLE-STALLE - CLEMENCE EVERARD",,3,,A67CB0,FFFFFF
63,75,"HEROS - BON AIR",,3,,FFDC01,000000
65,76,"KRAAINEM - OPPEM",,3,,FFDC01,000000
66,77,"KRAAINEM - HIPPODROME",,3,,4C8B33,FFFFFF
67,78,"HUMANITE - GARE DU MIDI",,3,,A67CB0,FFFFFF
68,79,"KRAAINEM - SCHUMAN",,3,,306196,FFFFFF
55,80,"PORTE DE NAMUR - HAREN",,3,,4C8B33,FFFFFF
10,81,"MARIUS RENARD - MONTGOMERY",,0,,4C8B33,FFFFFF
12,82,"GARE DE BERCHEM - DROGENBOS",,0,,91BEE7,000000
69,83,"GARE DE BERCHEM - VAL MARIA",,3,,B4BD10,000000
70,86,"MACHTENS - BOCKSTAEL",,3,,306196,FFFFFF
